country,install_type,install_type,vertical,vertical,subvertical,subvertical,uninstall_rate
IND,Organic,自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,47.18%
IND,Organic,自然流量,Gaming,游戏,Hypercasual,超休闲,51.23%
IND,Organic,自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,48.51%
IND,Organic,自然流量,Gaming,游戏,Midcore,中度游戏,81.87%
IND,Organic,自然流量,Non-Gaming,非游戏,News & Magazines,新闻和杂志,31.98%
IND,Organic,自然流量,Non-Gaming,非游戏,Shopping,购物,43.54%
IND,Organic,自然流量,Non-Gaming,非游戏,Travel,旅行,43.42%
IDN,Non-Organic,非自然流量,Gaming,游戏,Casino,赌场,85.96%
IDN,Non-Organic,非自然流量,Gaming,游戏,Casual,休闲,63.11%
IDN,Non-Organic,非自然流量,Non-Gaming,非游戏,Dating,约会,83.74%
IDN,Non-Organic,非自然流量,Non-Gaming,非游戏,Entertainment,娱乐,70.18%
IDN,Non-Organic,非自然流量,Non-Gaming,非游戏,Finance,金融,65.17%
IDN,Non-Organic,非自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,63.35%
IDN,Non-Organic,非自然流量,Gaming,游戏,Hypercasual,超休闲,67.28%
IDN,Non-Organic,非自然流量,Gaming,游戏,Midcore,中度游戏,80.79%
IDN,Non-Organic,非自然流量,Non-Gaming,非游戏,Shopping,购物,70.56%
IDN,Non-Organic,非自然流量,Non-Gaming,非游戏,Travel,旅行,62.63%
IDN,Organic,自然流量,Gaming,游戏,Casino,赌场,84.86%
IDN,Organic,自然流量,Gaming,游戏,Casual,休闲,57.05%
IDN,Organic,自然流量,Non-Gaming,非游戏,Dating,约会,62.81%
IDN,Organic,自然流量,Non-Gaming,非游戏,Entertainment,娱乐,51.08%
IDN,Organic,自然流量,Non-Gaming,非游戏,Finance,金融,37.65%
IDN,Organic,自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,37.85%
IDN,Organic,自然流量,Gaming,游戏,Hypercasual,超休闲,50.64%
IDN,Organic,自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,63.23%
IDN,Organic,自然流量,Gaming,游戏,Midcore,中度游戏,77.78%
IDN,Organic,自然流量,Non-Gaming,非游戏,Shopping,购物,54.25%
IDN,Organic,自然流量,Non-Gaming,非游戏,Travel,旅行,37.21%
JPN,Non-Organic,非自然流量,Gaming,游戏,Casino,赌场,85.51%
JPN,Non-Organic,非自然流量,Gaming,游戏,Casual,休闲,64.10%
