country,install_type,vertical,subvertical,uninstall_rate
KOR,Non-Organic,Non-Gaming,Food & Drink,37.20%
KOR,Non-Organic,Gaming,Hypercasual,61.96%
KOR,Non-Organic,Gaming,Midcore,73.51%
KOR,Non-Organic,Non-Gaming,Shopping,57.62%
KOR,Non-Organic,Non-Gaming,Travel,49.84%
KOR,Organic,Gaming,Casino,60.05%
KOR,Organic,Gaming,Casual,51.38%
KOR,Organic,Non-Gaming,Dating,67.43%
KOR,Organic,Non-Gaming,Entertainment,40.48%
KOR,Organic,Non-Gaming,Finance,46.12%
KOR,Organic,Non-Gaming,Food & Drink,35.51%
KOR,Organic,Gaming,Hypercasual,45.48%
KOR,Organic,Non-Gaming,Lifestyle,52.17%
KOR,Organic,Gaming,Midcore,65.55%
KOR,Organic,Non-Gaming,Shopping,45.31%
KOR,Organic,Non-Gaming,Travel,30.24%
GBR,Non-Organic,Gaming,Casino,61.64%
GBR,Non-Organic,Gaming,Casual,48.57%
GBR,Non-Organic,Non-Gaming,Dating,62.38%
GBR,Non-Organic,Non-Gaming,Entertainment,51.69%
GBR,Non-Organic,Non-Gaming,Finance,66.58%
GBR,Non-Organic,Non-Gaming,Food & Drink,56.62%
GBR,Non-Organic,Gaming,Hypercasual,56.21%
GBR,Non-Organic,Non-Gaming,Lifestyle,60.34%
GBR,Non-Organic,Gaming,Midcore,68.63%
GBR,Non-Organic,Non-Gaming,News & Magazines,53.94%
GBR,Non-Organic,Non-Gaming,Shopping,51.06%
GBR,Non-Organic,Non-Gaming,Travel,47.26%
GBR,Organic,Gaming,Casino,61.02%
GBR,Organic,Gaming,Casual,38.50%
GBR,Organic,Non-Gaming,Dating,51.67%
GBR,Organic,Non-Gaming,Entertainment,39.61%
GBR,Organic,Non-Gaming,Finance,35.94%
GBR,Organic,Non-Gaming,Food & Drink,28.07%
GBR,Organic,Gaming,Hypercasual,30.13%
GBR,Organic,Non-Gaming,Lifestyle,38.19%
GBR,Organic,Gaming,Midcore,62.42%
GBR,Organic,Non-Gaming,News & Magazines,16.09%
GBR,Organic,Non-Gaming,Shopping,26.24%
GBR,Organic,Non-Gaming,Travel,25.91%
USA,Non-Organic,Gaming,Casino,55.97%
USA,Non-Organic,Gaming,Casual,48.07%
USA,Non-Organic,Non-Gaming,Dating,57.77%
USA,Non-Organic,Non-Gaming,Entertainment,50.18%
USA,Non-Organic,Non-Gaming,Finance,53.50%
USA,Non-Organic,Non-Gaming,Food & Drink,47.21%
USA,Non-Organic,Gaming,Hypercasual,57.44%
USA,Non-Organic,Non-Gaming,Lifestyle,40.09%
USA,Non-Organic,Gaming,Midcore,69.58%
USA,Non-Organic,Non-Gaming,Shopping,39.82%
USA,Non-Organic,Non-Gaming,Travel,41.93%
USA,Organic,Gaming,Casino,48.87%
USA,Organic,Gaming,Casual,40.09%
USA,Organic,Non-Gaming,Dating,45.48%
USA,Organic,Non-Gaming,Entertainment,44.99%
USA,Organic,Non-Gaming,Finance,45.83%
USA,Organic,Non-Gaming,Food & Drink,44.68%
USA,Organic,Gaming,Hypercasual,33.55%
USA,Organic,Non-Gaming,Lifestyle,29.34%
USA,Organic,Gaming,Midcore,67.23%
USA,Organic,Non-Gaming,News & Magazines,22.23%
USA,Organic,Non-Gaming,Shopping,47.59%
USA,Organic,Non-Gaming,Travel,46.20%
