country,is_payer,vertical,subvertical,inactivity_days,return_rate_percentage,total_users_inactive,returning_users,,
CAN,payer,non-gaming,Finance (Trading & Investing),7,41.79,67,28,,
USA,payer,non-gaming,Finance (Financial Health & Banking),6,41.73,6468,2699,,
DEU,payer,non-gaming,Other Consumer,25,41.7,5551,2315,,
IND,payer,Gaming,Casino,2,41.67,36074,15031,,
USA,non-payer,non-gaming,Finance (Trading & Investing),1,41.65,71028,29584,,
IDN,non-payer,non-gaming,On-Demand,6,41.65,47919,19958,,
AUS,payer,Gaming,Hypercasual,4,41.64,4925,2051,,
FRA,payer,non-gaming,E-Commerce,20,41.63,711,296,,
KOR,non-payer,non-gaming,Health & Fitness,1,41.6,228118,94890,,
CAN,payer,non-gaming,Finance (Financial Health & Banking),7,41.51,106,44,,
DEU,payer,non-gaming,Finance (Financial Health & Banking),5,41.5,882,366,,
KOR,payer,non-gaming,Utility & Productivity,15,41.45,1983,822,,
BRA,payer,non-gaming,Finance (Financial Health & Banking),9,41.41,8517,3527,,
DEU,non-payer,non-gaming,E-Commerce,5,41.4,81994,33943,,
CAN,payer,non-gaming,Other Consumer,2,41.38,406,168,,
IDN,payer,non-gaming,News,3,41.33,2100,868,,
FRA,non-payer,non-gaming,Social,1,41.31,54167,22376,,
DEU,payer,non-gaming,Finance (Trading & Investing),1,41.3,3082,1273,,
AUS,payer,non-gaming,Entertainment,8,41.28,763,315,,
DEU,payer,Gaming,Hypercasual,3,41.28,25152,10383,,
IDN,payer,non-gaming,On-Demand,17,41.25,80,33,,
AUS,payer,non-gaming,Social,3,41.24,1586,654,,
KOR,payer,non-gaming,Health & Fitness,11,41.24,3691,1522,,
USA,payer,non-gaming,Health & Fitness,2,41.2,4007,1651,,
DEU,non-payer,non-gaming,Other Consumer,4,41.2,50939,20985,,
BRA,payer,non-gaming,Entertainment,7,41.2,10059,4144,,
FRA,payer,non-gaming,Generative AI,2,41.19,2309,951,,
KOR,payer,non-gaming,E-Commerce,15,41.19,3234,1332,,
AUS,payer,non-gaming,Travel,12,41.18,51,21,,
USA,payer,non-gaming,On-Demand,20,41.15,8793,3618,,
KOR,non-payer,non-gaming,On-Demand,4,41.14,60351,24830,,
USA,payer,non-gaming,Unclassified,6,41.13,30321,12472,,
USA,payer,non-gaming,Loyalty,4,41.11,176845,72703,,
IND,non-payer,Gaming,MidCore,1,41.09,2045286,840496,,
DEU,payer,non-gaming,Travel,29,41.06,604,248,,
IND,payer,non-gaming,News,1,41.04,1947,799,,
FRA,payer,non-gaming,Loyalty,4,40.99,22808,9349,,
BRA,payer,Gaming,Casino,3,40.96,18863,7727,,
