country,install_type,install_type,vertical,vertical,subvertical,subvertical,uninstall_rate
FRA,Organic,オーガニック,Non-Gaming,非ゲーム,Travel,旅行,30.81%
DEU,Non-Organic,非オーガニック,Gaming,ゲーム,Casino,カジノ,77.07%
DEU,Non-Organic,非オーガニック,Gaming,ゲーム,Casual,カジュアル,53.21%
DEU,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,62.02%
DEU,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,50.29%
DEU,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,69.37%
DEU,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,52.91%
DEU,Non-Organic,非オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,60.95%
DEU,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,49.42%
DEU,Non-Organic,非オーガニック,Gaming,ゲーム,Midcore,ミッドコア,69.55%
DEU,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,News & Magazines,ニュース・雑誌,54.06%
DEU,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,51.49%
DEU,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Travel,旅行,41.74%
DEU,Organic,オーガニック,Gaming,ゲーム,Casino,カジノ,61.23%
DEU,Organic,オーガニック,Gaming,ゲーム,Casual,カジュアル,43.81%
DEU,Organic,オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,50.02%
DEU,Organic,オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,38.08%
DEU,Organic,オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,39.75%
DEU,Organic,オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,32.56%
DEU,Organic,オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,33.36%
DEU,Organic,オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,41.34%
DEU,Organic,オーガニック,Gaming,ゲーム,Midcore,ミッドコア,58.59%
DEU,Organic,オーガニック,Non-Gaming,非ゲーム,News & Magazines,ニュース・雑誌,22.82%
DEU,Organic,オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,28.05%
DEU,Organic,オーガニック,Non-Gaming,非ゲーム,Travel,旅行,30.53%
IND,Non-Organic,非オーガニック,Gaming,ゲーム,Casino,カジノ,82.18%
IND,Non-Organic,非オーガニック,Gaming,ゲーム,Casual,カジュアル,63.84%
IND,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,85.27%
IND,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,64.47%
IND,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,66.19%
IND,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,66.18%
IND,Non-Organic,非オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,75.67%
IND,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,73.63%
IND,Non-Organic,非オーガニック,Gaming,ゲーム,Midcore,ミッドコア,82.82%
IND,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,64.83%
IND,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Travel,旅行,62.07%
IND,Organic,オーガニック,Gaming,ゲーム,Casino,カジノ,75.12%
IND,Organic,オーガニック,Gaming,ゲーム,Casual,カジュアル,52.78%
IND,Organic,オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,71.66%
IND,Organic,オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,49.44%
IND,Organic,オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,43.12%
IND,Organic,オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,47.18%
IND,Organic,オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,51.23%
IND,Organic,オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,48.51%
IND,Organic,オーガニック,Gaming,ゲーム,Midcore,ミッドコア,81.87%
IND,Organic,オーガニック,Non-Gaming,非ゲーム,News & Magazines,ニュース・雑誌,31.98%
IND,Organic,オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,43.54%
IND,Organic,オーガニック,Non-Gaming,非ゲーム,Travel,旅行,43.42%
IDN,Non-Organic,非オーガニック,Gaming,ゲーム,Casino,カジノ,85.96%
IDN,Non-Organic,非オーガニック,Gaming,ゲーム,Casual,カジュアル,63.11%
IDN,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,83.74%
IDN,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,70.18%
IDN,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,65.17%
IDN,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,63.35%
IDN,Non-Organic,非オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,67.28%
IDN,Non-Organic,非オーガニック,Gaming,ゲーム,Midcore,ミッドコア,80.79%
IDN,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,70.56%
IDN,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Travel,旅行,62.63%
IDN,Organic,オーガニック,Gaming,ゲーム,Casino,カジノ,84.86%
IDN,Organic,オーガニック,Gaming,ゲーム,Casual,カジュアル,57.05%
IDN,Organic,オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,62.81%
IDN,Organic,オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,51.08%
IDN,Organic,オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,37.65%
IDN,Organic,オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,37.85%
IDN,Organic,オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,50.64%
